2026-09-12 14:00:17] [Notice]   Loading external interface "MeshCore_Dynamic_Interface.py" from "/home/afi/.reticulum/interfaces"
[2026-09-12 14:05:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=301s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:05:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:05:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:05:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-117dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:06:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=361s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:06:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:06:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:06:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:07:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=421s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:07:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:07:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:07:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:08:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=481s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:08:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:08:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:08:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:09:05] [Warning]  AutoInterface[Default Interface] Detected possible carrier loss on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:07] [Warning]  AutoInterface[Default Interface] Detected possible carrier loss on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:07] [Error]    Could not send reverse peering packet to fe80::62ff:9eff:fe0a:1f7e on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:08] [Warning]  AutoInterface[Default Interface] Detected possible carrier loss on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:10] [Warning]  AutoInterface[Default Interface] Detected possible carrier loss on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:11] [Warning]  Multicast echo timeout for wlp0s20f3. Carrier lost.
[2026-09-12 14:09:15] [Error]    Could not send reverse peering packet to fe80::62ff:9eff:fe0a:1f7e on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=541s -- TX: 1350B total, 0bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 14:09:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:09:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=8): avg=13707ms min=18ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:09:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-47dBm last_snr=11.75dB rx_channel_util=0.0% (ALL traffic on this channel, not just ours) recv=24 sent=22 recv_errors=0
[2026-09-12 14:09:23] [Error]    Could not send reverse peering packet to fe80::62ff:9eff:fe0a:1f7e on wlp0s20f3: [Errno 101] Network is unreachable
[2026-09-12 14:09:25] [Error]    Could not transmit on AutoInterfacePeer[wlp0s20f3/fe80::62ff:9eff:fe0a:1f7e]. The contained exception was: [Errno 101] Network is unreachable
[2026-09-12 14:09:25] [Info]     [PERF 8] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:09:25] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:09:25] [Info]     [PERF 8] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:09:25] [Info]     [PERF 8] DEQUEUE(channel) priority=1 queue_wait=0.000s depth=0
[2026-09-12 14:09:30] [Warning]  An interface error occurred for TCPInterface[Home interface/202.171.189.142:4242], the contained exception was: [Errno 110] Connection timed out
[2026-09-12 14:09:30] [Warning]  Attempting to reconnect...
[2026-09-12 14:09:35] [Info]     [PERF 9] OUT size=230 ptype=1 broadcast=True
[2026-09-12 14:09:35] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:09:35] [Info]     [PERF 9] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:09:35] [Info]     [PERF 9] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:09:35] [Info]     [PERF 9] QUEUE(channel) priority=1 depth=2
[2026-09-12 14:09:35] [Info]     [PERF 10] OUT size=192 ptype=1 broadcast=True
[2026-09-12 14:09:35] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:09:35] [Info]     [PERF 10] QUEUE(channel) priority=1 depth=3
[2026-09-12 14:09:35] [Info]     [PERF 10] QUEUE(channel) priority=1 depth=4
[2026-09-12 14:09:35] [Info]     [PERF 10] QUEUE(channel) priority=1 depth=5
[2026-09-12 14:09:35] [Info]     [PERF 9] DEQUEUE(channel) priority=1 queue_wait=0.001s depth=5
[2026-09-12 14:09:38] [Info]     [PERF 9] DEQUEUE(channel) priority=1 queue_wait=2.527s depth=4
